Privatefixedinvestment;Nonresidential;Structures;Commercialandhealthcare;Manufacturing;Powerandcommunication;Miningexploration,shafts,andwells1;Otherstructures2;Equipment;Informationprocessingequipment;Computersandperipheralequipment;Other3;Industrialequipment;Transportationequipment;Otherequipment4;Intellectualpropertyproducts;Software5;Researchanddevelopment6;Entertainment,literary,andartisticoriginals;Residential;Structures;Permanentsite;Singlefamily;Multifamily;Otherstructures7;Equipment;Privatefixedinvestmentinstructures;Privatefixedinvestmentinnewstructures;Nonresidentialstructures8;Residentialstructures9;Privatefixedinvestmentininformationprocessingequipmentandsoftware
3,7;4,6;18,1;27;38,6;-7;4;22,2;-3,5;-5,6;-8,8;-3,9;-3;-4,7;1,3;6;15,6;7,9;-10,2;1;0,8;-1,8;0,9;-9,4;5,1;6,3;9,1;6,7;17,8;-4,9;-2,2
5,2;5,9;-0,2;10,9;1,5;-3,6;-40,4;25,7;9;12,2;45,1;-0,5;10;10,7;0,9;8,5;17;7,2;2,4;3,4;3,2;-2,4;0,4;-10,3;12,4;11,4;1,5;1,3;-0,3;3,2;13
-1,6;-4,5;-8;-3,4;-1,1;-1,4;-28,4;-10,7;-5,4;-6;-15,6;-1;-7,5;4,8;-12,9;5,5;4;6,2;4,8;7,7;7,7;-1;0,2;-4,5;21,6;8,1;-0,5;-3,5;-7,5;1,3;-4,2
7,8;7,4;5,1;8,6;-0,2;5;-6,9;10,5;7,7;17,1;48,5;5,4;12,6;-10,3;8,8;11;14,7;8,6;14,9;9;8,9;7,8;13,6;-8,5;10,4;15,1;7;8;4,5;12,1;16,7
1,1;-3,9;-9,6;-9,3;-30,7;35,9;-24,7;-12;-3,9;7,5;25,4;0,2;-7,3;-18,3;-1,4;7;11,4;3,6;13,4;17,3;17,5;20,3;20,9;18,6;13,5;10,1;3,5;4;-9,5;21;8,1
0,1;-7,9;-32,7;-23,6;-33;6,9;-84,1;-26,2;5;11,9;20,9;8,3;-5,7;11,8;-0,5;6,4;16,9;0;15,8;25;25,7;21,7;20,2;26,5;31,6;0,5;-5,2;-8,2;-32,6;23,9;12,8
-1,8;-4,5;-13,5;-11,9;-14,8;-12,3;-45,1;-0,5;-2,3;-6;-25,4;3,7;6,3;5,3;-13,8;4;7,9;2,2;5,1;5,6;5,5;13,4;24,5;-16,9;-4,8;7,6;-3;-2,4;-13,5;8,4;-3,5
3,1;3,9;2,5;-2,5;21,1;-18,8;30,6;14,9;4,6;18,4;15,6;19,8;-1,5;-11,5;9;4,2;10,1;2,8;1,3;1,1;1;-1;1,1;-8;4;3,7;1,7;-0,7;2,4;-3,3;16,8
-6,7;-9,1;-9;-11;-33,8;-12,5;7,1;11,9;-13,1;-9;70,3;-31,1;-9,4;-28,7;-5,5;2,6;13,9;1,1;-5,3;-0,7;-0,7;-5,8;6,2;-40,6;7,1;0,3;-4,2;-4,8;-9;-1,1;-5
6,3;8,3;4,8;4,2;21,2;-9,5;-9,4;13,3;12,2;8,2;30,5;-0,8;-5,1;44,3;11,2;3,2;17,6;1;-6,4;1,4;1,4;-0,2;7,3;-27,3;3,7;1,6;2,8;3,5;4,8;2,4;10,1
7,1;11,6;17,7;13,3;54,5;-8,5;149,2;-1,4;11;20,3;37,7;12,9;8,4;-6,8;20,1;4,7;17,8;3,1;-5,8;-3,3;-3,6;0,7;5,5;-19,2;-9,5;13,7;4,8;8,6;17,7;1,5;19,8
-0,2;-0,5;7,8;11,2;-6,7;-3,5;49,8;3,3;-7,2;-3,9;2,6;-6,8;-3,4;-23,9;2,1;6,5;17;4,7;-1,2;0,7;0,5;3,7;3,4;4,8;-3,8;6,3;3,6;5,2;7,9;3;0,1
0,2;3,2;-14,3;-8,7;-17,8;-11,2;-25;-22;13,1;10;3,8;13,2;0,6;47;4;6,1;11;2,4;11,8;-6,9;-7;-16,8;-14,6;-27;8,7;-4,9;-10,2;-13,2;-14,3;-12,2;10,2
8,1;9,3;8,6;13,3;24,2;-9,7;18,4;-2,5;10,3;20,2;25,1;18;17,5;0,2;-2,2;7,4;15,5;9;-7,8;5;5;-0,8;4,1;-23,3;13,3;7,3;6,5;3,1;8,4;-1,2;19,1
1,9;2,5;-5,3;-3,6;-2,3;13,3;-22,1;-15,3;4,4;6;15,2;1,9;13,4;-9,1;6;9,2;21,2;8,8;-5,6;0,2;0,2;-1,4;-2,2;3,2;2,4;0,9;-2,2;-2,7;-5,3;-0,3;9,2
4,8;5,7;-1;-7,1;23,2;-1,6;-16,3;8,8;5,2;2,6;6,4;1;1,3;17,9;2,1;16,8;24,2;9,2;33,7;2,6;2,6;8,6;8,8;7,9;-4,9;4,9;1;1,9;-1,8;5,3;7,1
3,6;6,6;6,6;5,9;17,4;24,3;-40,6;14,6;4,9;10,4;27,7;2,9;14,3;-30,9;30,3;11;32,8;7,1;-4,9;-3,8;-3,9;1,6;1,2;3,9;-10,9;-0,1;0,4;3,4;7,2;0,2;15,1
0,5;5,5;-4,4;-17,5;38,5;-3,5;42,6;-13,4;8,9;19,6;49,3;7,2;3,3;-3,5;10,4;10,9;32,7;3,9;4,1;-12;-12,2;-12;-15,1;6,7;-12,6;0,1;-9;-7,4;-4,2;-10,1;22,5
7,2;10,6;14,8;21,1;28,3;-13,3;17;12,5;8,1;8,8;10,7;8,1;6,2;-0,9;17,6;11,6;32,9;5,1;2,8;-1,8;-1,7;-9,5;-10,7;-2,8;10;-9,2;5,2;2,3;14,9;-8,1;14,1
